# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
56305.11772292	0.19749092	0.992456	0.000213	1.031352	0.000241	1.011456	0.000217
56305.13815591	0.20688570	0.992946	0.000213	1.032276	0.000241	1.011955	0.000217
56305.15858869	0.21628038	0.992124	0.000213	1.031534	0.000241	1.011117	0.000217
56305.17902168	0.22567515	0.993945	0.000213	1.033629	0.000241	1.012974	0.000217
56305.19945457	0.23506988	0.991936	0.000213	1.031692	0.000241	1.010926	0.000217
56305.21988735	0.24446456	0.994308	0.000213	1.034332	0.000241	1.013343	0.000217
56305.24032034	0.25385933	0.994126	0.000212	1.034273	0.000241	1.013158	0.000217
56305.26075322	0.26325406	0.991731	0.000212	1.031725	0.000241	1.010717	0.000217
56305.28118601	0.27264874	0.997751	0.000212	1.038456	0.000241	1.016852	0.000217
56305.30161900	0.28204352	0.991123	0.000212	1.031043	0.000241	1.010097	0.000217
56305.32205188	0.29143824	0.993130	0.000212	1.033378	0.000241	1.012143	0.000217
56305.34248477	0.30083297	0.994782	0.000212	1.035109	0.000241	1.013827	0.000217
56305.36291766	0.31022770	0.987455	0.000212	1.026933	0.000241	1.006359	0.000216
56305.38335055	0.31962243	0.995131	0.000212	1.035523	0.000241	1.014182	0.000216
56305.40378353	0.32901720	0.986406	0.000212	1.025647	0.000241	1.005291	0.000216
56305.42421632	0.33841188	0.987725	0.000212	1.027132	0.000241	1.006634	0.000216
56305.44464921	0.34780661	0.991500	0.000212	1.031293	0.000241	1.010482	0.000216
56305.46508220	0.35720139	0.980468	0.000212	1.018789	0.000241	0.999239	0.000216
56305.48551509	0.36659612	0.990351	0.000212	1.030006	0.000241	1.009311	0.000216
56305.50594788	0.37599080	0.983051	0.000212	1.021549	0.000241	1.001871	0.000216
56305.52638087	0.38538557	0.982615	0.000212	1.021063	0.000241	1.001426	0.000216
56305.54681375	0.39478030	0.988660	0.000212	1.027835	0.000241	1.007587	0.000216
56305.56724664	0.40417503	0.977309	0.000212	1.014806	0.000241	0.996019	0.000216
56305.58767953	0.41356976	0.987480	0.000212	1.026463	0.000241	1.006385	0.000216
56305.60811242	0.42296449	0.981786	0.000212	1.019827	0.000241	1.000582	0.000216
56305.62854531	0.43235921	0.974695	0.000212	1.011681	0.000241	0.993355	0.000216
56305.64897820	0.44175394	0.976277	0.000212	1.013570	0.000241	0.994967	0.000216
56305.66941109	0.45114867	0.959023	0.000212	0.993741	0.000241	0.977382	0.000216
56305.68984398	0.46054340	0.954993	0.000212	0.989096	0.000241	0.973276	0.000216
56305.71027688	0.46993814	0.943011	0.000212	0.975535	0.000241	0.961065	0.000216
56305.73070967	0.47933282	0.931571	0.000212	0.962318	0.000241	0.949405	0.000216
56305.75114266	0.48872759	0.933489	0.000212	0.964522	0.000241	0.951360	0.000216
56305.77157555	0.49812232	0.923771	0.000212	0.953396	0.000241	0.941456	0.000217
56305.79200854	-0.49248290	0.928444	0.000212	0.958514	0.000241	0.946219	0.000217
56305.81244133	-0.48308822	0.937313	0.000212	0.968660	0.000241	0.955257	0.000217
56305.83287423	-0.47369349	0.942576	0.000212	0.974488	0.000241	0.960621	0.000217
56305.85330722	-0.46429871	0.957465	0.000213	0.991297	0.000241	0.975795	0.000217
56305.87374001	-0.45490403	0.964112	0.000213	0.998913	0.000241	0.982570	0.000217
56305.89417290	-0.44550930	0.973733	0.000213	1.009670	0.000241	0.992375	0.000217
56305.91460590	-0.43611452	0.984050	0.000213	1.021340	0.000241	1.002889	0.000217
56305.93503869	-0.42671984	0.986542	0.000213	1.024222	0.000241	1.005429	0.000217
56305.97590458	-0.40793033	0.990371	0.000213	1.028407	0.000241	1.009331	0.000217
